Change,Description,MultipleCompulsory,Department,Number,Grade,Class,Name,Url,Credit,YearSemester,CompulsoryElective,Restrict,Select,Selected,Remaining,Teacher,Room,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,Context,Programs,EMI
,,,英文中高級,GEEN117G,0,,英文中高級,https://selcrs.nsysu.edu.tw/menu5/showoutline.asp?SYEAR=111&SEM=2&CrsDat=GEEN117G&Crsname=英文中高級,3,期,必,35,0,0,35,莊家雄,社SS 3006,,,,,234,,,《講授類》若未依「國立中山大學學士班學生英文能力培育辦法」選課，修習及格學分不計 ※英語授課,,1
,,,英文中高級,GEEN117H,0,,英文中高級,https://selcrs.nsysu.edu.tw/menu5/showoutline.asp?SYEAR=111&SEM=2&CrsDat=GEEN117H&Crsname=英文中高級,3,期,必,35,0,0,35,莊家雄,社SS 3006,,,,,567,,,《講授類》若未依「國立中山大學學士班學生英文能力培育辦法」選課，修習及格學分不計 ※英語授課,,1
,,,英文高級,GEEN118,0,,英文高級,https://selcrs.nsysu.edu.tw/menu5/showoutline.asp?SYEAR=111&SEM=2&CrsDat=GEEN118&Crsname=英文高級,3,期,必,35,0,0,35,徐淑瑛,文LA 1012,,234,,,,,,《講授類》若未依「國立中山大學學士班學生英文能力培育辦法」選課，修習及格學分不計 ※英語授課,,1
,,,英文高級,GEEN118A,0,,英文高級,https://selcrs.nsysu.edu.tw/menu5/showoutline.asp?SYEAR=111&SEM=2&CrsDat=GEEN118A&Crsname=英文高級,3,期,必,35,0,0,35,洪敏秀,文LA 1012,,567,,,,,,《講授類》若未依「國立中山大學學士班學生英文能力培育辦法」選課，修習及格學分不計 ※英語授課,,1
,,,英文高級,GEEN118B,0,,英文高級,https://selcrs.nsysu.edu.tw/menu5/showoutline.asp?SYEAR=111&SEM=2&CrsDat=GEEN118B&Crsname=英文高級,3,期,必,35,0,0,35,賴淑芳,文LA 1003,,567,,,,,,《講授類》若未依「國立中山大學學士班學生英文能力培育辦法」選課，修習及格學分不計 ※英語授課,,1
,,,運動健康(必),GEPE103,1,,運動與健康：初級游泳,https://selcrs.nsysu.edu.tw/menu5/showoutline.asp?SYEAR=111&SEM=2&CrsDat=GEPE103&Crsname=運動與健康：初級游泳,1,期,必,40,0,0,40,羅凱暘,游泳池/Swimming pool,12,,,,,,,《體育類》第一堂請至游泳池門口集合永續海洋休閒運動產業學程,'永續海洋休閒運動產業學程',0
,,,運動健康(必),GEPE103A,1,,運動與健康：初級游泳,https://selcrs.nsysu.edu.tw/menu5/showoutline.asp?SYEAR=111&SEM=2&CrsDat=GEPE103A&Crsname=運動與健康：初級游泳,1,期,必,40,0,0,40,林宗正,游泳池/Swimming pool,34,,,,,,,《體育類》第一堂請至游泳池門口集合永續海洋休閒運動產業學程,'永續海洋休閒運動產業學程',0
,,,運動健康(必),GEPE103B,1,,運動與健康：初級游泳,https://selcrs.nsysu.edu.tw/menu5/showoutline.asp?SYEAR=111&SEM=2&CrsDat=GEPE103B&Crsname=運動與健康：初級游泳,1,期,必,40,0,0,40,羅凱暘,游泳池/Swimming pool,34,,,,,,,《體育類》第一堂請至游泳池門口集合永續海洋休閒運動產業學程,'永續海洋休閒運動產業學程',0
,,,運動健康(必),GEPE103C,1,,運動與健康：初級游泳,https://selcrs.nsysu.edu.tw/menu5/showoutline.asp?SYEAR=111&SEM=2&CrsDat=GEPE103C&Crsname=運動與健康：初級游泳,1,期,必,40,0,0,40,許秀桃,游泳池/Swimming pool,67,,,,,,,《體育類》第一堂請至游泳池門口集合永續海洋休閒運動產業學程,'永續海洋休閒運動產業學程',0
,,,運動健康(必),GEPE103D,1,,運動與健康：初級游泳,https://selcrs.nsysu.edu.tw/menu5/showoutline.asp?SYEAR=111&SEM=2&CrsDat=GEPE103D&Crsname=運動與健康：初級游泳,1,期,必,40,0,0,40,李佳倫,游泳池/Swimming pool,67,,,,,,,《體育類》第一堂請至游泳池門口集合永續海洋休閒運動產業學程,'永續海洋休閒運動產業學程',0
,,,運動健康(必),GEPE103E,1,,運動與健康：初級游泳,https://selcrs.nsysu.edu.tw/menu5/showoutline.asp?SYEAR=111&SEM=2&CrsDat=GEPE103E&Crsname=運動與健康：初級游泳,1,期,必,40,0,0,40,李佳倫,游泳池/Swimming pool,89,,,,,,,《體育類》第一堂請至游泳池門口集合※英語授課永續海洋休閒運動產業學程,'永續海洋休閒運動產業學程',1
,,,運動健康(必),GEPE103F,1,,運動與健康：初級游泳,https://selcrs.nsysu.edu.tw/menu5/showoutline.asp?SYEAR=111&SEM=2&CrsDat=GEPE103F&Crsname=運動與健康：初級游泳,1,期,必,40,0,0,40,蔡鋒樺,游泳池/Swimming pool,89,,,,,,,《體育類》第一堂請至游泳池門口集合永續海洋休閒運動產業學程,'永續海洋休閒運動產業學程',0
,,,運動健康(必),GEPE103G,1,,運動與健康：初級游泳,https://selcrs.nsysu.edu.tw/menu5/showoutline.asp?SYEAR=111&SEM=2&CrsDat=GEPE103G&Crsname=運動與健康：初級游泳,1,期,必,40,0,0,40,林國欽,游泳池/Swimming pool,,67,,,,,,《體育類》第一堂請至游泳池門口集合永續海洋休閒運動產業學程,'永續海洋休閒運動產業學程',0
,,,運動健康(必),GEPE103H,1,,運動與健康：初級游泳,https://selcrs.nsysu.edu.tw/menu5/showoutline.asp?SYEAR=111&SEM=2&CrsDat=GEPE103H&Crsname=運動與健康：初級游泳,1,期,必,40,0,0,40,許秀桃,游泳池/Swimming pool,,67,,,,,,《體育類》第一堂請至游泳池門口集合永續海洋休閒運動產業學程,'永續海洋休閒運動產業學程',0
,,,運動健康(必),GEPE103I,1,,運動與健康：初級游泳,https://selcrs.nsysu.edu.tw/menu5/showoutline.asp?SYEAR=111&SEM=2&CrsDat=GEPE103I&Crsname=運動與健康：初級游泳,1,期,必,40,0,0,40,林國欽,游泳池/Swimming pool,,89,,,,,,《體育類》第一堂請至游泳池門口集合永續海洋休閒運動產業學程,'永續海洋休閒運動產業學程',0
,,,運動健康(必),GEPE103J,1,,運動與健康：初級游泳,https://selcrs.nsysu.edu.tw/menu5/showoutline.asp?SYEAR=111&SEM=2&CrsDat=GEPE103J&Crsname=運動與健康：初級游泳,1,期,必,40,0,0,40,蔡鋒樺,游泳池/Swimming pool,,,12,,,,,《體育類》第一堂請至游泳池門口集合永續海洋休閒運動產業學程,'永續海洋休閒運動產業學程',0
