Change,Description,MultipleCompulsory,Department,Number,Grade,Class,Name,Url,Credit,YearSemester,CompulsoryElective,Restrict,Select,Selected,Remaining,Teacher,Room,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,Context
異動,9/19,,外籍華語,CLC102,0,,基礎華語,https://selcrs.nsysu.edu.tw/menu5/showoutline.asp?SYEAR=111&SEM=1&CrsDat=CLC102&Crsname=基礎華語,3,期,選,50,0,7,43,華語中心兼任教師,國IR 5013,,B5,,B5,,,,《講授類》限國際交換學生修習
新增,9/19,,外籍華語,CLC201,0,,初級華語一,https://selcrs.nsysu.edu.tw/menu5/showoutline.asp?SYEAR=111&SEM=1&CrsDat=CLC201&Crsname=初級華語一,3,期,選,50,0,1,49,華語中心兼任教師,國IR 5022,,B5,,B5,,,,《講授類》限國際交換學生修習
新增,9/19,,外籍華語,CLC201A,0,,初級華語一,https://selcrs.nsysu.edu.tw/menu5/showoutline.asp?SYEAR=111&SEM=1&CrsDat=CLC201A&Crsname=初級華語一,3,期,選,50,0,5,45,華語中心兼任教師,國IR 5022,,78,,78,,,,《講授類》限國際交換學生修習
新增,9/19,,外籍華語,CLC202,0,,初級華語二,https://selcrs.nsysu.edu.tw/menu5/showoutline.asp?SYEAR=111&SEM=1&CrsDat=CLC202&Crsname=初級華語二,3,期,選,50,0,2,48,華語中心兼任教師,國IR 5016,,B5,,B5,,,,《講授類》限國際交換學生修習
新增,9/19,,外籍華語,CLC202A,0,,初級華語二,https://selcrs.nsysu.edu.tw/menu5/showoutline.asp?SYEAR=111&SEM=1&CrsDat=CLC202A&Crsname=初級華語二,3,期,選,50,0,4,46,華語中心兼任教師,國IR 5016,B5,,B5,,,,,《講授類》限國際交換學生修習
新增,9/19,,外籍華語,CLC301,0,,中級華語一,https://selcrs.nsysu.edu.tw/menu5/showoutline.asp?SYEAR=111&SEM=1&CrsDat=CLC301&Crsname=中級華語一,3,期,選,50,0,7,43,華語中心兼任教師,國IR 5017-2,,B5,,B5,,,,《講授類》限國際交換學生修習
新增,9/19,,外籍華語,CLC302,0,,中級華語二,https://selcrs.nsysu.edu.tw/menu5/showoutline.asp?SYEAR=111&SEM=1&CrsDat=CLC302&Crsname=中級華語二,3,期,選,50,0,2,48,華語中心兼任教師,國IR 5019,,B5,,B5,,,,《講授類》限國際交換學生修習
新增,9/19,,外籍華語,CLC303,0,,中級華語三,https://selcrs.nsysu.edu.tw/menu5/showoutline.asp?SYEAR=111&SEM=1&CrsDat=CLC303&Crsname=中級華語三,3,期,選,50,0,1,49,華語中心兼任教師,國IR 5017-2,,B5,,,B5,,,《講授類》限國際交換學生修習
新增,9/19,,外籍華語,CLC401,0,,進階華語一,https://selcrs.nsysu.edu.tw/menu5/showoutline.asp?SYEAR=111&SEM=1&CrsDat=CLC401&Crsname=進階華語一,3,期,選,50,0,6,44,華語中心兼任教師,國IR 5014,,78,,78,,,,《講授類》限國際交換學生修習
新增,9/19,,外籍華語,CLC404,0,,進階華語四,https://selcrs.nsysu.edu.tw/menu5/showoutline.asp?SYEAR=111&SEM=1&CrsDat=CLC404&Crsname=進階華語四,3,期,選,50,0,1,49,華語中心兼任教師,國IR 5016,,78,,78,,,,《講授類》限國際交換學生修習
